id,name,latitude,longitude
3745,36 Ave & 31 St,40.75651272984955,-73.92957486212252
3777,Stockholm St & Wilson Ave,40.699304,-73.923044
459,W 20 St & 11 Ave,40.746745,-74.007756
3325,E 95 St & 3 Ave,40.7849032,-73.950503
3337,Dwight St & Van Dyke St,40.67363551341504,-74.01195555925369
3662,31 Ave & Steinway St,40.761293897289086,-73.916916847229
446,W 24 St & 7 Ave,40.74487634,-73.99529885
478,11 Ave & W 41 St,40.76030096,-73.99884222
3288,E 88 St & 1 Ave,40.778301,-73.9488134
3346,Berkeley Pl & 7 Ave,40.675146838709786,-73.97523209452629
3386,1 Pl & Clinton St,40.6809591,-73.99905709
3466,W 45 St & 6 Ave -,40.75668720603179,-73.98257732391357
3478,2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708866668485,-74.00870203971863
3597,43 St & Broadway,40.7577284,-73.9166368
3615,44 Dr & 21 St,40.748,-73.9460927
406,Hicks St & Montague St,40.69512845,-73.99595065
432,E 7 St & Avenue A,40.72621788,-73.98379855
3072,Leonard St & Boerum St,40.70583339,-73.94644578
3131,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069
3529,Lenox Ave & W 130 St,40.8107922,-73.9430681
3532,Ditmars Blvd & 19 St,40.78145,-73.9183302
3814,E 56 St & Madison Ave,40.761573,-73.972628
443,Bedford Ave & S 9 St,40.70853074,-73.96408963
3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
3580,St Johns Pl & Washington Ave,40.6737236,-73.9631611
3733,Avenue C & E 18 St,40.730563,-73.973984
3154,E 77 St & 3 Ave,40.77314236,-73.95856158
3559,21 St & 38 Ave,40.7576314,-73.9391224
365,Fulton St & Grand Ave,40.68223166,-73.9614583
3720,Wyckoff St & Bond St,40.68461653897949,-73.98721285164356
3833,Madison St & Evergreen Ave,40.69122,-73.91693
389,Broadway & Berry St,40.71044554,-73.96525063
524,W 43 St & 6 Ave,40.75527307,-73.98316936
3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915
3162,W 78 St & Broadway,40.78339981,-73.98093133
146,Hudson St & Reade St,40.71625008,-74.0091059
250,Lafayette St & Jersey St,40.72456089,-73.99565293
3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386
310,State St & Smith St,40.68926942,-73.98912867
3148,E 84 St & 1 Ave,40.77565541,-73.95068615
3395,Henry St & W 9 St,40.6763744,-74.00324957
3544,Underhill Ave & Pacific St,40.6804836,-73.9646795
3727,Frost St & Meeker Ave,40.71766197083994,-73.94880026578903
3507,Park Ave & E 124 St,40.8045555,-73.9396861
379,W 31 St & 7 Ave,40.749156,-73.9916
2017,E 43 St & 2 Ave,40.75022392,-73.97121414
3379,E 103 St & Lexington Ave,40.7903051,-73.94755757
3429,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863
3452,Bayard St & Leonard St,40.71915571696044,-73.94885390996933
3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108
3391,E 106 St & 1 Ave,40.7892529,-73.93956237
3577,34 Ave & 21 St,40.7628138,-73.9342862
3723,Cadman Plaza E & Johnson St,40.695317277669034,-73.99015724658966
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
3449,Eckford St & Engert Ave,40.721462562298164,-73.94800901412964
479,9 Ave & W 45 St,40.76019252,-73.9912551
3095,Graham Ave & Herbert St,40.71929301,-73.94500379
3327,3 Ave & E 100 St,40.7877214,-73.94728331
3506,Lexington Ave & E 120 St,40.8013066,-73.9398167
3541,Amsterdam Ave & W 125 St,40.813358,-73.956461
3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321
3358,Garfield Pl & 8 Ave,40.6711978,-73.97484126
3402,Court St & State St,40.6902375,-73.99203074
3405,5 St & 6 Ave,40.6704836,-73.98208968
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848
423,W 54 St & 9 Ave,40.76584941,-73.98690506
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116
3080,S 4 St & Rodney St,40.70934,-73.95608
3504,E 123 St & Lexington Ave,40.8029263,-73.9379
3565,36 Ave & 10 St,40.7614376,-73.9411265
3630,Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308
3726,Center Blvd & 51 Ave,40.743366080270214,-73.95960688591003
3105,N 15 St & Wythe Ave,40.724055,-73.955736
3137,5 Ave & E 73 St,40.77282817,-73.96685276
3191,Union St,40.7182113,-74.0836394
3226,W 82 St & Central Park West,40.78275,-73.97137
3509,Lenox Ave & W 115 St,40.8011939,-73.9500739
3512,27 Ave & 4 St,40.7747175,-73.9337894
3663,Sterling Pl & 7 Ave,40.67716489469059,-73.973827958107
3770,Central Ave & Flushing Ave,40.702831,-73.9333
3879,Broadway & Madison St,40.68822,-73.91966
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056
251,Mott St & Prince St,40.722,-73.995
3315,Henry St & Degraw St,40.6847514,-73.99917254
3354,3 St & Prospect Park West,40.668132,-73.97363831
3605,31 Ave & Crescent St,40.7658346,-73.9265474
3649,W 129 St & Convent Ave,40.814394437915816,-73.95324736833572
488,W 39 St & 9 Ave,40.75645824,-73.99372222
3126,44 Dr & Jackson Ave,40.74718234,-73.9432635
2000,Front St & Washington St,40.70255088,-73.98940236
3106,Driggs Ave & N Henry St,40.72325,-73.94308
3691,28 Ave & 44 St,40.76408932350688,-73.91065120697021
441,E 52 St & 2 Ave,40.756014,-73.967416
